years BP 2000,permille
22400,-42.11
22450,-42.11
22450,-42.76
22500,-42.76
22500,-42.47
22550,-42.47
22550,-41.76
22600,-41.76
22600,-41.07
22650,-41.07
22650,-39.76
22700,-39.76
22700,-41.92
22750,-41.92
22750,-43.46
22800,-43.46
22800,-42
22850,-42
22850,-43.68
22900,-43.68
22900,-43.61
22950,-43.61
22950,-43.77
23000,-43.77
23000,-43.67
23050,-43.67
23050,-44.07
23100,-44.07
23100,-43.12
23150,-43.12
23150,-43.72
23200,-43.72
23200,-44.19
23250,-44.19
23250,-43.53
23300,-43.53
23300,-43.57
23350,-43.57
23350,-42.65
23400,-42.65
23400,-43.14
23450,-43.14
23450,-43.74
23500,-43.74
23500,-43.55
23550,-43.55
23550,-43.82
23600,-43.82
23600,-44.32
23650,-44.32
23650,-43.8
23700,-43.8
23700,-42.62
23750,-42.62
23750,-43.54
23800,-43.54
23800,-43.41
23850,-43.41
23850,-43.5
23900,-43.5
23900,-43.2
23950,-43.2
23950,-42.7
24000,-42.7
24000,-43.6
24050,-43.6
24050,-44.23
24100,-44.23
24100,-43.04
24150,-43.04
24150,-43.84
24200,-43.84
24200,-44.06
24250,-44.06
24250,-43.89
24300,-43.89
24300,-44.49
24350,-44.49
24350,-42.67
24400,-42.67
24400,-42.74
24450,-42.74
24450,-43.43
24500,-43.43
24500,-44.21
24550,-44.21
24550,-43.39
24600,-43.39
24600,-42.79
24650,-42.79
24650,-44
24700,-44
24700,-43.45
24750,-43.45
24750,-42.93
24800,-42.93
24800,-44.13
24850,-44.13
24850,-44.86
24900,-44.86
24900,-42.36
24950,-42.36
24950,-43.39
25000,-43.39
25000,-43.44
25050,-43.44
25050,-44.56
25100,-44.56
25100,-44.76
25150,-44.76
25150,-44.18
25200,-44.18
25200,-43.73
25250,-43.73
25250,-44.76
25300,-44.76
25300,-44.37
25350,-44.37
25350,-43.45
25400,-43.45
25400,-43.45
25450,-43.45
25450,-44.76
25500,-44.76
25500,-42.46
25550,-42.46
25550,-43.24
25600,-43.24
25600,-42.27
25650,-42.27
25650,-42.76
25700,-42.76
25700,-43.18
25750,-43.18
25750,-42.79
25800,-42.79
25800,-42.67
25850,-42.67
25850,-42.44
25900,-42.44
25900,-42.94
25950,-42.94
25950,-43.79
26000,-43.79
26000,-45.62
26050,-45.62
26050,-44.4
26100,-44.4
26100,-43.54
26150,-43.54
26150,-43.17
26200,-43.17
26200,-43.36
26250,-43.36
26250,-44.16
26300,-44.16
26300,-44.07
26350,-44.07
26350,-43.23
26400,-43.23
26400,-43.91
26450,-43.91
26450,-43.47
26500,-43.47
26500,-42.54
26550,-42.54
26550,-43.97
26600,-43.97
26600,-43.97
26650,-43.97
26650,-42.36
26700,-42.36
26700,-42.63
26750,-42.63
26750,-43.45
26800,-43.45
26800,-43.35
26850,-43.35
26850,-43.08
26900,-43.08
26900,-44.06
26950,-44.06
26950,-44.4
27000,-44.4
27000,-44.58
27050,-44.58
27050,-43.61
27100,-43.61
27100,-43.03
27150,-43.03
27150,-41.42
27200,-41.42
27200,-40.72
27250,-40.72
27250,-39.62
27300,-39.62
27300,-39.4
27350,-39.4
27350,-38.37
27400,-38.37
27400,-43.2
27450,-43.2
27450,-43.72
27500,-43.72
27500,-43.82
27550,-43.82
27550,-43.85
27600,-43.85
27600,-44.84
27650,-44.84
27650,-44.2
27700,-44.2
27700,-44.58
27750,-44.58
27750,-44.05
27800,-44.05
27800,-44.15
27850,-44.15
27850,-44.48
27900,-44.48
27900,-43.75
27950,-43.75
27950,-44.7
28000,-44.7
28000,-43.59
28050,-43.59
28050,-43.78
28100,-43.78
28100,-44.28
28150,-44.28
28150,-43.2
28200,-43.2
28200,-43.23
28250,-43.23
28250,-40.58
28300,-40.58
28300,-40.33
28350,-40.33
28350,-40.45
28400,-40.45
28400,-40.36
28450,-40.36
28450,-39.02
28500,-39.02
28500,-40.23
28550,-40.23
28550,-42.5
28600,-42.5
28600,-43.6
28650,-43.6
28650,-44.37
28700,-44.37
28700,-44.08
28750,-44.08
28750,-44.54
28800,-44.54
28800,-43.71
28850,-43.71
28850,-44.13
28900,-44.13
28900,-44.32
28950,-44.32
28950,-43.65
29000,-43.65
29000,-43.51
29050,-43.51
29050,-44.14
29100,-44.14
29100,-45.07
29150,-45.07
29150,-44.35
29200,-44.35
29200,-45.82
29250,-45.82
29250,-44.57
29300,-44.57
29300,-45.22
29350,-45.22
29350,-44.39
29400,-44.39
29400,-44.15
29450,-44.15
29450,-44.31
29500,-44.31
29500,-44.51
29550,-44.51
29550,-44.06
29600,-44.06
29600,-43.98
29650,-43.98
29650,-44.83
29700,-44.83
29700,-44.47
29750,-44.47
29750,-45.11
29800,-45.11
29800,-44.22
29850,-44.22
29850,-44.37
29900,-44.37
29900,-45.09
29950,-45.09
29950,-43.74
30000,-43.74
30000,-44.04
30050,-44.04
30050,-44.88
30100,-44.88
30100,-43.76
30150,-43.76
30150,-43.35
30200,-43.35
30200,-43.83
30250,-43.83
30250,-42.23
30300,-42.23
30300,-42.37
30350,-42.37
30350,-43
30400,-43
30400,-43.85
30450,-43.85
30450,-43.12
30500,-43.12
30500,-43.65
30550,-43.65
30550,-44.24
30600,-44.24
30600,-44.21
30650,-44.21
30650,-43.66
30700,-43.66
30700,-43.89
30750,-43.89
30750,-43.58
30800,-43.58
30800,-43.28
30850,-43.28
30850,-44.29
30900,-44.29
30900,-44.13
30950,-44.13
30950,-43.22
31000,-43.22
31000,-43.74
31050,-43.74
31050,-44.21
31100,-44.21
31100,-43.46
31150,-43.46
31150,-43.08
31200,-43.08
31200,-44.4
31250,-44.4
31250,-43.69
31300,-43.69
31300,-44.02
31350,-44.02
31350,-43.95
31400,-43.95
31400,-43.09
31450,-43.09
31450,-43.68
31500,-43.68
31500,-43.39
31550,-43.39
31550,-44.07
31600,-44.07
31600,-43.65
31650,-43.65
31650,-43.96
31700,-43.96
31700,-43.4
31750,-43.4
31750,-43.57
31800,-43.57
31800,-41.55
31850,-41.55
31850,-41.7
31900,-41.7
31900,-40.61
31950,-40.61
31950,-40.3
32000,-40.3
32000,-40.43
32050,-40.43
32050,-40.4
32100,-40.4
32100,-39.94
32150,-39.94
32150,-39.88
32200,-39.88
32200,-38.92
32250,-38.92
32250,-42.28
32300,-42.28
32300,-43.91
32350,-43.91
32350,-43.81
32400,-43.81
32400,-44.18
32450,-44.18
32450,-44.26
32500,-44.26
32500,-43.77
32550,-43.77
32550,-44.17
32600,-44.17
32600,-44.69
32650,-44.69
32650,-45.14
32700,-45.14
32700,-43.84
32750,-43.84
32750,-42.97
32800,-42.97
32800,-43.48
32850,-43.48
32850,-43.68
32900,-43.68
32900,-43.81
32950,-43.81
32950,-43.26
33000,-43.26
33000,-43.21
33050,-43.21
33050,-43.56
33100,-43.56
33100,-44.19
33150,-44.19
33150,-43.14
33200,-43.14
33200,-41.1
33250,-41.1
33250,-40.38
33300,-40.38
33300,-39.92
33350,-39.92
33350,-39.66
33400,-39.66
33400,-39.82
33450,-39.82
33450,-39.78
33500,-39.78
33500,-39.03
33550,-39.03
33550,-41.04
33600,-41.04
33600,-41.91
33650,-41.91
33650,-42.7
33700,-42.7
33700,-42.73
33750,-42.73
33750,-43.26
33800,-43.26
33800,-43.32
33850,-43.32
33850,-42.49
33900,-42.49
33900,-42.92
33950,-42.92
33950,-42.72
34000,-42.72
34000,-42.85
34050,-42.85
34050,-42.59
34100,-42.59
34100,-43.38
34150,-43.38
34150,-43.09
34200,-43.09
34200,-42.81
34250,-42.81
34250,-42.61
34300,-42.61
34300,-42.97
34350,-42.97
34350,-43.38
34400,-43.38
34400,-42.98
34450,-42.98
34450,-41.93
34500,-41.93
34500,-42.2
34550,-42.2
34550,-40.05
34600,-40.05
34600,-40.5
34650,-40.5
34650,-40.4
34700,-40.4
34700,-40.77
34750,-40.77
34750,-41.17
34800,-41.17
34800,-40.99
34850,-40.99
34850,-40.3
34900,-40.3
34900,-39.35
34950,-39.35
34950,-40.17
35000,-40.17
35000,-39.67
35050,-39.67
35050,-39.8
35100,-39.8
35100,-39.36
35150,-39.36
35150,-39.51
35200,-39.51
35200,-39.24
35250,-39.24
35250,-38.78
35300,-38.78
35300,-38.63
35350,-38.63
35350,-39.86
35400,-39.86
35400,-42.62
35450,-42.62
35450,-42.74
35500,-42.74
35500,-42.83
35550,-42.83
35550,-42.6
35600,-42.6
35600,-41.95
35650,-41.95
35650,-42.58
35700,-42.58
35700,-43.43
35750,-43.43
35750,-44.52
35800,-44.52
35800,-44.52
35850,-44.52
35850,-42.59
35900,-42.59
35900,-43.13
35950,-43.13
35950,-43.32
36000,-43.32
36000,-42.93
36050,-42.93
36050,-42.81
36100,-42.81
36100,-42.43
36150,-42.43
36150,-42.75
36200,-42.75
36200,-43.32
36250,-43.32
36250,-42.88
36300,-42.88
36300,-42
36350,-42
36350,-43.06
36400,-43.06
36400,-42.12
36450,-42.12
36450,-41.75
36500,-41.75
36500,-43.23
36550,-43.23
36550,-42.21
36600,-42.21
36600,-40.82
36650,-40.82
36650,-41.05
36700,-41.05
36700,-41.09
36750,-41.09
36750,-41.26
36800,-41.26
36800,-40.4
36850,-40.4
36850,-41.54
36900,-41.54
36900,-41.31
36950,-41.31
36950,-41.52
37000,-41.52
37000,-41.01
37050,-41.01
37050,-41.33
37100,-41.33
37100,-40.96
37150,-40.96
37150,-40.21
37200,-40.21
37200,-40.02
37250,-40.02
37250,-39.59
37300,-39.59
37300,-39.93
37350,-39.93
37350,-39.28
37400,-39.28
37400,-40.29
37450,-40.29
37450,-40.21
37500,-40.21
37500,-38.77
37550,-38.77
37550,-39.28
37600,-39.28
37600,-38.74
37650,-38.74
37650,-39.15
37700,-39.15
37700,-38.9
37750,-38.9
37750,-38.71
37800,-38.71
37800,-39.04
37850,-39.04
37850,-39.12
37900,-39.12
37900,-39.03
37950,-39.03
37950,-39.41
38000,-39.41
38000,-39.05
38050,-39.05
38050,-38.64
38100,-38.64
38100,-38.5
38150,-38.5
38150,-38.97
38200,-38.97
38200,-38.2
38250,-38.2
38250,-38.13
38300,-38.13
38300,-38.99
38350,-38.99
38350,-41.76
38400,-41.76
38400,-42.3
38450,-42.3
38450,-42.78
38500,-42.78
38500,-42.26
38550,-42.26
38550,-42.15
38600,-42.15
38600,-42.76
38650,-42.76
38650,-42.81
38700,-42.81
38700,-42.71
38750,-42.71
38750,-42.77
38800,-42.77
38800,-43.71
38850,-43.71
38850,-43.21
38900,-43.21
38900,-43.19
38950,-43.19
38950,-43.09
39000,-43.09
39000,-42.63
39050,-42.63
39050,-42.5
39100,-42.5
39100,-42.11
39150,-42.11
39150,-43.91
39200,-43.91
39200,-43.54
39250,-43.54
39250,-44.16
39300,-44.16
39300,-43.05
39350,-43.05
39350,-43.27
39400,-43.27
39400,-43.62
39450,-43.62
39450,-43.35
39500,-43.35
39500,-43.03
39550,-43.03
39550,-43.57
39600,-43.57
39600,-42.66
39650,-42.66
39650,-43.49
39700,-43.49
39700,-43.67
39750,-43.67
39750,-42.01
39800,-42.01
39800,-43.88
39850,-43.88
39850,-42.68
39900,-42.68
39900,-42.96
39950,-42.96
39950,-43.24
40000,-43.24
40000,-43.23
40050,-43.23
40050,-43.33
40100,-43.33
40100,-42.23
40150,-42.23
40150,-41.09
40200,-41.09
40200,-40.75
40250,-40.75
40250,-40.34
40300,-40.34
40300,-40.18
40350,-40.18
40350,-42.77
40400,-42.77
40400,-42.2
40450,-42.2
40450,-42.44
40500,-42.44
40500,-42.21
40550,-42.21
40550,-42.42
40600,-42.42
40600,-42.2
40650,-42.2
40650,-42.29
40700,-42.29
40700,-42.08
40750,-42.08
40750,-42.9
40800,-42.9
40800,-43.34
40850,-43.34
40850,-43.32
40900,-43.32
40900,-43.01
40950,-43.01
40950,-43.67
41000,-43.67
41000,-43.77
41050,-43.77
41050,-42.3
41100,-42.3
41100,-42
41150,-42
41150,-41.95
41200,-41.95
41200,-41.67
41250,-41.67
41250,-40.8
41300,-40.8
41300,-40.01
41350,-40.01
41350,-39.76
41400,-39.76
41400,-40.43
41450,-40.43
41450,-39.43
41500,-39.43
41500,-40.07
41550,-40.07
41550,-39.33
41600,-39.33
41600,-39.57
41650,-39.57
41650,-38.92
41700,-38.92
41700,-39.05
41750,-39.05
41750,-42.07
41800,-42.07
41800,-42.37
41850,-42.37
41850,-43.01
41900,-43.01
41900,-42.19
41950,-42.19
41950,-42.6
42000,-42.6
42000,-42.44
42050,-42.44
42050,-43.29
42100,-43.29
42100,-42.82
42150,-42.82
42150,-42.48
42200,-42.48
42200,-43.48
42250,-43.48
42250,-42.49
42300,-42.49
42300,-43.17
42350,-43.17
42350,-42.77
42400,-42.77
42400,-42.67
42450,-42.67
42450,-41.73
42500,-41.73
42500,-42.46
42550,-42.46
42550,-42.2
42600,-42.2
42600,-40.87
42650,-40.87
42650,-40.97
42700,-40.97
42700,-40.92
42750,-40.92
42750,-41.11
42800,-41.11
42800,-41.62
42850,-41.62
42850,-41.17
42900,-41.17
42900,-41.12
42950,-41.12
42950,-40.63
43000,-40.63
43000,-40.05
43050,-40.05
43050,-39.93
43100,-39.93
43100,-39.7
43150,-39.7
43150,-39.68
43200,-39.68
43200,-39.4
43250,-39.4
43250,-39.46
43300,-39.46
43300,-38.98
43350,-38.98
43350,-38.48
43400,-38.48
43400,-38.76
43450,-38.76
43450,-39.46
43500,-39.46
43500,-40.01
43550,-40.01
43550,-39.57
43600,-39.57
43600,-39.3
43650,-39.3
43650,-39.97
43700,-39.97
43700,-41.86
43750,-41.86
43750,-42.6
43800,-42.6
43800,-43.09
43850,-43.09
